Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
164,forbes.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign Atlas R3 DV TLS CA 2024 Q4,2026-02-08,RSA,F,TLS_M_CS_L
165,www.forbes.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,GlobalSign Atlas R3 DV TLS CA 2025 Q1,2026-02-17,RSA,F,TLS_H_CS_M
166,i.forbesimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,GlobalSign Atlas R3 DV TLS CA 2025 Q1,2026-02-17,RSA,F,TLS_H_CS_M
167,dev.visualwebsiteoptimizer.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Starfield Secure Certificate Authority - G2,2026-07-06,RSA,F,TLS_H_CS_M
168,cdn.speedcurve.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign Atlas R3 DV TLS CA 2024 Q4,2025-12-25,RSA,F,TLS_M_CS_L
169,warp.media.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2025-10-22,RSA,T,TLS_H_CS_H
170,pxlrtpge-a.akamaihd.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-18,ECDSA,F,TLS_H_CS_H
171,global.ketchcdn.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Certainly Intermediate R1,2025-08-18,RSA,T,TLS_H_CS_M
172,gum.criteo.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-09-25,ECDSA,T,TLS_H_CS_M
173,geolocation.forbes.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,GlobalSign Atlas R3 DV TLS CA 2025 Q1,2026-02-17,RSA,F,TLS_H_CS_M
